Agent No,TZ,T0,TS,DT,PP,PR,PT
120,UTC-8,00:00,24:00,1,0,1,1
121,UTC+0,08:00,22:00,3,0,0,0
122,UTC-8,08:00,22:00,3,0,0,0
123,UTC+8,08:00,22:00,3,0,0,0
124,UTC-8,00:00,24:00,1,0,0,0
125,UTC+0,06:00,23:00,2,0,1,1
126,UTC+8,06:00,23:00,2,0,0,0
127,UTC-8,06:00,23:00,2,0,1,0
128,UTC+8,00:00,24:00,1,1,0,0
129,UTC-8,00:00,24:00,1,0,0,0
130,UTC-8,08:00,22:00,3,1,0,0
131,UTC+8,06:00,23:00,2,1,0,0
132,UTC-8,08:00,22:00,3,0,0,0
133,UTC+8,06:00,23:00,2,0,1,1
134,UTC-8,08:00,22:00,3,0,1,0
135,UTC-8,06:00,23:00,2,0,0,0
136,UTC-8,00:00,24:00,1,0,1,1
137,UTC+8,08:00,22:00,3,0,0,0
138,UTC+8,00:00,24:00,1,0,0,0
139,UTC+8,06:00,23:00,2,0,0,0
140,UTC-8,06:00,23:00,2,0,0,0
141,UTC+8,08:00,22:00,3,0,0,0
142,UTC-8,08:00,22:00,3,0,1,1
143,UTC+0,00:00,24:00,1,0,1,1
144,UTC+0,00:00,24:00,1,1,0,0
145,UTC-8,00:00,24:00,1,0,1,1
146,UTC+8,06:00,23:00,2,0,0,0
147,UTC-8,08:00,22:00,3,0,0,0
148,UTC-8,00:00,24:00,1,0,1,1
149,UTC+0,06:00,23:00,2,0,0,0
150,UTC+8,08:00,22:00,3,0,1,1
151,UTC+8,08:00,22:00,3,0,0,0
152,UTC+8,08:00,22:00,3,0,0,0
153,UTC+0,08:00,22:00,3,1,0,0
154,UTC+0,00:00,24:00,1,0,0,0
155,UTC+0,08:00,22:00,3,0,0,0
156,UTC+8,08:00,22:00,3,0,0,0
157,UTC+0,06:00,23:00,2,0,0,0
158,UTC+8,08:00,22:00,3,0,0,0
159,UTC+8,06:00,23:00,2,0,1,0
160,UTC+0,00:00,24:00,1,0,1,1
161,UTC-8,08:00,22:00,3,1,0,0
162,UTC+8,08:00,22:00,3,0,1,1
163,UTC+8,00:00,24:00,1,0,1,1
164,UTC+8,00:00,24:00,1,0,1,1
165,UTC+0,06:00,23:00,2,0,1,1
166,UTC+8,00:00,24:00,1,0,0,0
167,UTC+0,00:00,24:00,1,1,0,0
168,UTC+0,08:00,22:00,3,0,0,0
169,UTC+0,08:00,22:00,3,0,0,0
170,UTC-8,00:00,24:00,1,0,1,0
171,UTC-8,00:00,24:00,1,0,1,1
172,UTC+8,00:00,24:00,1,0,1,1
173,UTC+0,00:00,24:00,1,0,0,0
174,UTC-8,08:00,22:00,3,0,1,0
175,UTC-8,00:00,24:00,1,0,1,1
176,UTC-8,06:00,23:00,2,0,1,1
177,UTC+0,06:00,23:00,2,0,1,1
178,UTC+0,08:00,22:00,3,0,1,1
179,UTC+0,08:00,22:00,3,0,1,1
180,UTC+0,00:00,24:00,1,0,1,1
181,UTC-8,00:00,24:00,1,0,1,0
182,UTC+0,08:00,22:00,3,1,0,0
183,UTC-8,08:00,22:00,3,0,0,0
184,UTC+8,00:00,24:00,1,1,0,0
185,UTC-8,00:00,24:00,1,0,0,0
186,UTC-8,06:00,23:00,2,0,1,0
187,UTC-8,06:00,23:00,2,0,1,1
188,UTC+8,00:00,24:00,1,0,0,0
189,UTC+0,08:00,22:00,3,0,0,0
190,UTC+0,06:00,23:00,2,0,1,1
191,UTC+8,08:00,22:00,3,0,1,1
192,UTC+8,06:00,23:00,2,0,1,1
193,UTC-8,08:00,22:00,3,0,0,0
194,UTC-8,00:00,24:00,1,0,0,0
195,UTC+0,00:00,24:00,1,0,0,0
196,UTC+8,00:00,24:00,1,0,0,0
197,UTC+8,06:00,23:00,2,0,1,1
198,UTC+0,06:00,23:00,2,0,0,0
199,UTC+0,08:00,22:00,3,0,0,0
200,UTC+0,08:00,22:00,3,0,0,0
